year,rank,title,artist,lyrics_raw,lyrics_url,lyrics_clean,lines,tokens,vader,fk_grade,ttr,repetition_ratio,compressibility,is_top5
1958,6,"Sail Along, Silv'ry Moon"" / ""Raunchy",Billy Vaughn,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,7,"Catch a Falling Star"" / ""Magic Moments",Perry Como,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,8,Tequila,The Champs,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,9,It's All in the Game,Tommy Edwards,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,10,Return to Me,Dean Martin,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,11,It's Only Make Believe,Conway Twitty,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,12,The Purple People Eater,Sheb Wooley,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,13,"Bird Dog"" / ""Devoted to You",The Everly Brothers,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,14,Get a Job,The Silhouettes,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,15,Little Star,The Elegants,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,16,Twilight Time,The Platters,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,17,"Stood Up"" / ""Waitin' in School",Ricky Nelson,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,18,He's Got the Whole World in His Hands,Laurie London,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,19,Secretly,Jimmie Rodgers,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,20,At the Hop,Danny & the Juniors,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,21,Yakety Yak,The Coasters,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,22,"Wear My Ring Around Your Neck"" / ""Doncha' Think It's Time",Elvis Presley,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,23,"Rockin' Robin"" / ""Over and Over",Bobby Day,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,24,Poor Little Fool,Ricky Nelson,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,25,"A Wonderful Time Up There"" / ""It's Too Soon to Know",Pat Boone,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,26,Just a Dream,Jimmy Clanton,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,27,Sugartime,The McGuire Sisters,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,28,Tom Dooley,The Kingston Trio,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,29,Sweet Little Sixteen,Chuck Berry,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,30,"Topsy II"" / ""Topsy I",Cozy Cole,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,31,"Looking Back"" / ""Do I Like It",Nat King Cole,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,32,Book of Love,The Monotones,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,33,Tea for Two Cha Cha,Tommy Dorsey Orchestra & Warren Covington,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,34,Tears on My Pillow,Little Anthony and the Imperials,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,35,Short Shorts,The Royal Teens,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,36,Great Balls of Fire,Jerry Lee Lewis,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,37,Lollipop,The Chordettes,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,38,Splish Splash,Bobby Darin,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,39,Who's Sorry Now?,Connie Francis,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,40,"My True Love"" / ""Leroy",Jack Scott,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,41,Endless Sleep,Jody Reynolds,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
