year,mean,std,count,se
1958,3.840476672418884,0.3160099218982908,5,0.14132393338579552
1959,4.028650292969884,0.4521959548585793,5,0.2022281788428419
1960,3.937451639317191,0.07555102317386599,5,0.03378744471728525
1961,3.5903260307799014,0.3674845887768104,5,0.16434410423770085
1962,2.63196033679729,1.7720632608657296,5,0.7924907823451428
1963,3.9951617927104115,0.19868323456564352,5,0.08885384369566296
1964,3.571190986845186,0.4395509567687604,5,0.1965731637820039
1965,3.680747307456781,0.31924451388211417,5,0.1427704868968565
1966,3.9876218647068113,0.3103477453897748,5,0.13879173107106665
1967,4.052463842646802,0.5063695098404515,5,0.22645532914729963
1968,3.326958807490434,1.624362847163097,5,0.7264371492763573
1969,3.7289334604293645,0.505235271956863,5,0.22594808254522777
1970,4.074646453767857,0.1911571383419947,5,0.08548807114340631
1971,3.8654145914274958,0.22083124731856388,5,0.09875873611207539
1972,4.156230518540449,0.6688591465518252,5,0.299122903812475
1973,3.865708375629091,0.5634057922995869,5,0.25196273009980075
1974,3.05065693198015,1.3955223280643523,5,0.6240965579341308
1975,4.098610055737754,0.13202372234022572,5,0.05904280355906046
1976,3.7409409106409313,0.37094410178266984,5,0.16589124548773013
1977,4.038767099678583,0.2694847466748181,5,0.12051724249284072
1978,4.013468576103743,0.08015813400417383,5,0.03584780731657402
1979,4.125129232725348,0.27976190519852373,5,0.12511332750775017
1980,3.690163347212374,0.20570160166526766,5,0.09199255288082447
1981,4.038491950499553,0.08226792392869091,5,0.036791334054466884
1982,3.7577349612558018,0.14705806406698727,5,0.06576636557866054
1983,3.88417239468333,0.29328916185867004,5,0.13116290059598495
1984,4.028909596279931,0.2975192780352447,5,0.13305466606069344
1985,3.9976188378624657,0.37440855225761177,5,0.16744059484106044
1986,4.077161191836957,0.15157688421481805,5,0.0677872433843896
1987,4.096251824992016,0.20642687049343386,5,0.09231690296117273
1988,3.7635352744354855,0.3476184191849933,5,0.1554596831057324
1989,4.124447566720469,0.2765630808047296,5,0.12368276974922851
1990,4.317192876405214,0.39858809354747415,5,0.17825401443883948
1991,4.107304405376401,0.14643982897379476,5,0.06548988243976966
1992,4.415700000106527,0.4407973700209479,5,0.19713057673399345
1993,3.726327419373125,0.40291919748437127,5,0.18019094300294328
1994,4.0216092647466715,0.1723883930778892,5,0.07709443309082288
1995,4.323667255216611,0.4014595622097294,5,0.17953817426365212
1996,4.037746472826041,0.2914828356599998,5,0.13035508696203185
1997,4.527798398358984,0.4720029346493062,5,0.2110861294910479
1998,3.973990986265141,0.3236041733011027,5,0.14472018586077762
1999,3.9589861962531154,0.1870718504287426,5,0.08366107484706832
2000,4.245921804800001,0.12992222914392057,5,0.05810298723082214
2001,4.174429896763471,0.4036592349347517,5,0.18052189781193254
2002,4.243769777911362,0.20951476718951126,5,0.09369785234515794
2003,4.344365974480648,0.31573600377871214,5,0.14120143347866615
2004,4.344590119301812,0.24465750929529712,5,0.1094141643980142
2005,4.212795471431337,0.33202120412936426,5,0.14848439648091846
2006,4.447581976782047,0.3357444211541636,5,0.15014946975340562
2007,4.366721204525026,0.054506737011620426,5,0.0243761538379374
2008,4.095508407417114,0.3405599029735061,5,0.15230301869189847
2009,4.096474859070362,0.4150532043594942,5,0.18561743584538823
2010,4.163959429303498,0.2766628149885493,5,0.12372737223216877
2011,4.37793079491193,0.16662637421280016,5,0.07451757991682784
2012,4.2519544360216575,0.3389691602077643,5,0.15159161690011552
2013,3.9390442540338255,1.408986004469332,5,0.6301176970678498
2014,4.246948476514584,0.43197407436966156,5,0.19318467896162256
2015,4.344129346829614,0.29462763780822077,5,0.13176148523787376
2016,4.297816287961129,0.1861742528286194,5,0.08325965699700509
2017,4.349904946093053,0.5329062192732886,5,0.23832290638549639
2018,4.20820278455621,0.3986017102580412,5,0.17826010401693107
2019,4.3635378863758,0.19855419732133797,5,0.08879613648568367
2020,4.316727542099063,0.42692623055893014,5,0.19092721458150316
2021,4.1567854247808365,0.22700371387352386,5,0.10151914707322228
2022,4.061277144599826,0.17868731056053572,5,0.07991139462599478
2023,3.3512065406828517,1.898801148616973,5,0.8491696888124464
2024,0.8736610511342204,1.9535654996322729,5,0.8736610511352205
