year,mean,std,count,se
1958,0.03487557654865879,0.013319533264803748,5,0.0059566763617341775
1959,0.02774908785499977,0.013917757290628455,5,0.006224210279237704
1960,0.026539194961781715,0.0026875038698032294,5,0.001201888268534753
1961,0.04274709605208808,0.013305795774177146,5,0.005950532769157908
1962,0.21632959556260967,0.2589611279572147,5,0.11581093712847067
1963,0.02582701780530112,0.0064266929363084235,5,0.002874104455220672
1964,0.05123407655589757,0.02694286996354502,5,0.012049217749484788
1965,0.04170127155534695,0.013426236065018927,5,0.006004395304668321
1966,0.029336044998424616,0.011904087675816794,5,0.0053236698506487655
1967,0.025185563849652388,0.008890030737296259,5,0.003975742610131402
1968,0.15058594745362236,0.20819026036237812,5,0.09310551488473148
1969,0.044617636818156906,0.03190642415889182,5,0.01426898666764473
1970,0.023464629658904234,0.0035033066284323494,5,0.0015667263534400661
1971,0.030914374896409202,0.0062419264741180635,5,0.0027914743813367143
1972,0.030594041439474647,0.014810780983559884,5,0.006623582615820219
1973,0.04048671082536939,0.032527373994464946,5,0.014546683876236496
1974,0.1401884076704649,0.20302424961600143,5,0.09079520464445295
1975,0.02543552283011266,0.004506755921879822,5,0.0020154825198646026
1976,0.04633926926086517,0.015230003456766863,5,0.006811064605377497
1977,0.02651907959795921,0.012187500112177207,5,0.005450415745322909
1978,0.027015316688258073,0.0018727902515972698,5,0.0008375372620340858
1979,0.02774777059892916,0.008658788629748086,5,0.0038723279957837953
1980,0.04100781898765663,0.014695332308013316,5,0.00657195239853333
1981,0.026830519924003187,0.004517051534463033,5,0.002020086857785815
1982,0.04555868084048913,0.019099638939969837,5,0.008541618203094915
1983,0.03628030936579885,0.01586745582498535,5,0.007096141970928449
1984,0.03171937744278268,0.019105071158396592,5,0.008544047565029087
1985,0.0317325874131997,0.016660843562841476,5,0.0074509557538006655
1986,0.026119226754314363,0.006133833073600569,5,0.0027431335430414686
1987,0.02866547068732146,0.006364672056513729,5,0.002846367874571616
1988,0.03734019048556215,0.010602068045303661,5,0.004741388970275461
1989,0.027255934129385918,0.011058153744749286,5,0.004945356695780652
1990,0.022658328498450668,0.008303266280296219,5,0.0037133335676048334
1991,0.024364375785236807,0.0034629549329282727,5,0.0015486805266091684
1992,0.022209120064812238,0.008305003455213667,5,0.0037141104558456777
1993,0.044224101946401674,0.011870935597711503,5,0.005308843790601003
1994,0.028424244406514244,0.0055217118772988225,5,0.0024693846219616287
1995,0.023516908340737806,0.01050851592976328,5,0.00469955119231802
1996,0.029263786462380433,0.01068117062042125,5,0.004776764717307103
1997,0.020191357737369114,0.007694747363007316,5,0.0034411956346743215
1998,0.032004004300140075,0.010372402879837163,5,0.004638679585866096
1999,0.029135640425882615,0.004032954452932183,5,0.0018035920613833675
2000,0.022720406517686448,0.0037978886414388236,5,0.0016984674346463067
2001,0.026552423395115064,0.00801970711415636,5,0.0035865220533784574
2002,0.02443420392116408,0.005009983822401572,5,0.0022405328786128296
2003,0.02361898798332278,0.008649973511294835,5,0.003868385754965559
2004,0.023105877649774603,0.006289778232205632,5,0.00281287433812205
2005,0.025551895898395682,0.007369600698249652,5,0.0032957856256632273
2006,0.020476119625300968,0.0068760936490450475,5,0.0030750825637838614
2007,0.021126832733932795,0.00298719630829818,5,0.0013359148014982299
2008,0.029382361114281542,0.006906698379931438,5,0.003088769415522873
2009,0.03564926278142723,0.019651255953633463,5,0.008788308831114375
2010,0.03570261044940409,0.0173425053075378,5,0.007755804153561082
2011,0.020098233726170544,0.003013206761856203,5,0.001347547029954498
2012,0.022026042070045347,0.005891722047895317,5,0.00263485820072564
2013,0.08085399906764532,0.1355546450491348,5,0.06062188019914415
2014,0.02440508990976142,0.009453020725383303,5,0.0042275193869342875
2015,0.023598926991287638,0.013037166906307802,5,0.005830398287302975
2016,0.023652957893994794,0.006486472699006492,5,0.0029008387778350093
2017,0.027643971494309572,0.02004209560518765,5,0.008963097636949875
2018,0.03016715755272646,0.016472572443753653,5,0.0073667583497046
2019,0.01888187648330061,0.003867965664269189,5,0.001729806831988207
2020,0.02325904273134632,0.007104969632638713,5,0.003177439015330374
2021,0.02534922100274767,0.0064083119361219775,5,0.0028658842220384063
2022,0.028132427647801512,0.009795090547755196,5,0.004380497662109253
2023,0.22084326281183647,0.4356850924210702,5,0.19484429668735825
2024,0.8036253388317209,0.43910709143075993,5,0.1963746611682789
