year,mean,std,count,se
1958,0.09871205318489334,0.03634448538906183,5,0.016253747987438026
1959,0.08372846070135227,0.04189660807488494,5,0.018736732736421863
1960,0.06862422298618923,0.012767534813320528,5,0.005709815149535957
1961,0.11526547326914238,0.03150936765071416,5,0.014091417599005942
1962,0.2400315581229433,0.2377714439333696,5,0.10633462234865888
1963,0.07350135415316303,0.02810833007657557,5,0.012570427357044969
1964,0.11720532844799618,0.05390508824139343,5,0.024107088328176058
1965,0.10338160863580219,0.029055951198471184,5,0.01299421640613961
1966,0.08866976464813771,0.031592290606591265,5,0.014128501872253226
1967,0.07332606865002947,0.014386322568504865,5,0.00643375904188325
1968,0.2374085907641649,0.20443080224669474,5,0.09142423410368523
1969,0.1184059773707838,0.06424727308701951,5,0.028732253998313678
1970,0.06232551844005757,0.012615619071593902,5,0.00564187636446535
1971,0.08691671812273286,0.011644470952440008,5,0.005207565722335515
1972,0.09501848695013396,0.03097153179210218,5,0.013850890090887271
1973,0.10490755710581923,0.07823909230830473,5,0.034989585779850056
1974,0.20544015599212578,0.1744478547323597,5,0.07801545234211292
1975,0.07322828400818308,0.015376692730921971,5,0.006876666043093681
1976,0.12533888467958054,0.05417712773350927,5,0.024228748087563166
1977,0.07359762170115049,0.029498863929592254,5,0.01319229300111697
1978,0.07162640450499054,0.008213224936764497,5,0.0036730658546203655
1979,0.08773956624749409,0.02472306799151146,5,0.011056492128273764
1980,0.10483230386763538,0.044320540753676835,5,0.01982074838495423
1981,0.0829049947670762,0.019531014108442782,5,0.008734535043197102
1982,0.12734726063366808,0.0857410315819358,5,0.038344555015632956
1983,0.10803782888592714,0.0477662132077297,5,0.02136169995204638
1984,0.08954899130723563,0.06352338272728178,5,0.028408520387787607
1985,0.08896070148082204,0.04792906372223244,5,0.021434528916166165
1986,0.07710617534722622,0.029156135944080806,5,0.013039020386437937
1987,0.08963427091927756,0.03204393450514523,5,0.014330483164011162
1988,0.09362686217883888,0.013030949367689755,5,0.005827617719502439
1989,0.0774048403933572,0.0228039927010592,5,0.01019825556759548
1990,0.06952889047010959,0.021951373697413484,5,0.00981695275738349
1991,0.0727467574081228,0.01565630217525667,5,0.007001711188030348
1992,0.07445514932890103,0.027098773439713356,5,0.012118939903612971
1993,0.11630818762024435,0.03359839972304538,5,0.015025661143187916
1994,0.0864529206158613,0.026170324391377234,5,0.011703724866468061
1995,0.0730832945643012,0.03760353103441814,5,0.01681681031739639
1996,0.08345492949177385,0.029362892135270238,5,0.01313148456609164
1997,0.07073395070485397,0.022115741573349827,5,0.009890460306165673
1998,0.0874206953331724,0.023179201521798885,5,0.010366054053381776
1999,0.08686645818279702,0.002590563951215704,5,0.0011585354189957526
2000,0.0789051954544149,0.0207474634521469,5,0.009278547727938584
2001,0.0863682755788821,0.01505402545726575,5,0.006732364851491714
2002,0.08055919921661478,0.024510749000243796,5,0.010961540188796028
2003,0.07058085836916941,0.02028070563216527,5,0.009069807285036879
2004,0.06927878363796953,0.020755943989254413,5,0.009282340339430206
2005,0.08715546400028956,0.01726875073972626,5,0.0077228201081055384
2006,0.07443960427400328,0.024893722680908146,5,0.011132811225507784
2007,0.07557339769943361,0.01912406364374039,5,0.008552541262687166
2008,0.09228288348872525,0.02703165707511774,5,0.01208892455288528
2009,0.10290141629876844,0.06369830543955612,5,0.02848674820287842
2010,0.13014250990370393,0.06891410684003924,5,0.03081932550060219
2011,0.0610802057892547,0.01074679655519197,5,0.004806113527553963
2012,0.06593670890467956,0.008649934236287031,5,0.003868368190648106
2013,0.15350890936765824,0.20882316387524202,5,0.09338855794032391
2014,0.07452778534466042,0.01526530850654998,5,0.00682685350363031
2015,0.07887529444260812,0.051772523859718915,5,0.023153376543412256
2016,0.08159380424185696,0.033170830050142555,5,0.014834446172442301
2017,0.08545363785414414,0.06987941244992385,5,0.03125102329315497
2018,0.1010677550584497,0.046444098818494366,5,0.020770432422374214
2019,0.0559069084785907,0.018778048043638803,5,0.00839779838206666
2020,0.07907458480857692,0.01974483097199788,5,0.0088301568515261
2021,0.08271466703121745,0.018733446839436334,5,0.008377852117171646
2022,0.08450893980539204,0.03920829775810485,5,0.01753448381383501
2023,0.26634289846618076,0.4106897967965775,5,0.18366606066054453
2024,0.8093189964157705,0.42637568603221787,5,0.19068100358422935
