year,rank,title,artist,lyrics_raw,lyrics_url,total,ttr,entropy,hhi,max_p
1958,1,Volare (Nel blu dipinto di blu),Domenico Modugno,"Penso che un sogno cosi` non ritorni mai piu`
Mi dipingevo le mani e la faccia di blu
Poi d'improvviso venivo dal vento rapito
E incominciavo a volare nel cielo infinito

Volare, oh oh
Cantare, oh oh oh oh

Nel blu dipinto di blu
Felice di stare lassu`
E volavo volavo felice
Piu` in alto del sole ed ancora piu` su
Mentre il mondo pian piano spariva
Lontano laggiu`
Una musica dolce suonava soltanto per me

Volare, oh oh
Cantare, oh oh oh oh

Nel blu dipinto di blu
Felice di stare lassu`
Ma tutti i sogni nell'alba svaniscon perche`
Quando tramonta la luna li porta con se`
Ma io continuo a sognare negli occhi tuoi belli
Che sono blu come un cielo trapunto di stelle...

Volare, oh oh
Cantare, oh oh oh oh

Nel blu degli occhi tuoi blu
Felice di stare quaggiu`
E continuo a volare felice
Piu` in alto del sole ed ancora piu` su
Mentre il mondo pian piano scompare
Negli occhi tuoi blu
La tua voce e` una musica dolce che suona per me...

Volare, oh oh
Cantare, oh oh oh oh

Nel blu degli occhi tuoi blu
Felice di stare quaggiu`
Nel blu degli occhi tuoi blu
Felice di stare quaggiu`",,207,0.43478260869565216,4.069758367770289,0.029895680179234045,0.11594202898550725
1958,2,"All I Have to Do Is Dream"" / ""Claudette",The Everly Brothers,"Dream, dream, dream, dream
Dream, dream, dream, dream

When I want you in my arms
When I want you and all your charms
Whenever I want you, all I have to do is
Dream, dream, dream, dream

When I feel blue in the night
And I need you to hold me tight
Whenever I want you, all I have to do is
Dream

I can make you mine, taste your lips of wine
Anytime night or day
Only trouble is, gee whiz
I'm dreamin' my life away

I need you so that I could die
I love you so and that is why
Whenever I want you, all I have to do is
Dream, dream, dream, dream
Dream

I can make you mine, taste your lips of wine
Anytime night or day
Only trouble is, gee whiz
I'm dreamin' my life away

I need you so that I could die
I love you so and that is why
Whenever I want you, all I have to do is
Dream, dream, dream, dream
Dream, dream, dream, dream",,176,0.2784090909090909,3.4484102183843643,0.05281508264462815,0.14772727272727273
1958,3,"Don't"" / ""I Beg of You",Elvis Presley,"[Verse 1]
I don't want my heart to be broken
'Cause it's the only one I've got
So, darling, please be careful
You know I care a lot
Darling, please don't break my heart
I beg of you

[Verse 2]
I don't want no tears a-falling
You know I hate to cry
But that's what's bound to happen
If you would say goodbye
Darling, please don't say goodbye
I beg of you

[Pre-Chorus]
Hold my hand and promise
That you'll always love me true
Make me know you love me
The same way I love you, little girl

[Verse 3]
You got me at your mercy
Now that I'm in love with you
So please don't take advantage
Because you know my love is true
Darling, please, please love me too
I beg of you

[Pre-Chorus]
Hold my hand and promise
That you'll always love me true
Make me know you love me
The same way I love you, little girl

[Verse 3]
You got me at your mercy
Now that I'm in love with you
So please don't take advantage
'Cause you know my love is true
Darling, please, please love me too
I beg of you

Darling, please, please love me too
I beg of you
Darling, please, please love me too
I beg of you",,209,0.32057416267942584,3.7955935061999684,0.03349282296650717,0.09090909090909091
1958,4,Witch Doctor,Ross Bagdasarian,"I told the witch doctor I was in love with you
I told the witch doctor I was in love with you
And then the witch doctor, he told me what to do
He said that

Ooo eee, ooo ah ah ting tang
Walla walla, bing bang
Ooo eee, ooo ah ah ting tang
Walla walla, bing bang

Ooo eee, ooo ah ah ting tang
Walla walla, bing bang
Ooo eee, ooo ah ah ting tang
Walla walla, bing bang

I told the witch doctor you didn't love me true
I told the witch doctor you didn't love me nice
And then the witch doctor, he gave me this advice
He said that

Ooo eee, ooo ah ah ting tang
Walla walla, bing bang
Ooo eee, ooo ah ah ting tang
Walla walla, bing bang

Ooo eee, ooo ah ah ting tang
Walla walla, bing bang
Ooo eee, ooo ah ah ting tang
Walla walla, bing bang

You've been keeping love from me just like you were a miser
And I'll admit I wasn't very smart
So I went out and found myself a guy that's so much wiser
And he taught me the way to win your heart

My friend the witch doctor, he taught me what to say
My friend the witch doctor, he taught me what to do
I know that you'll be mine when I say this to you

Ooo eee, ooo ah ah, ting tang
Walla walla, bing bang
Ooo eee, ooo ah ah, ting tang
Walla walla, bing bang

Ooo eee, ooo ah ah, ting tang
Walla walla, bing bang
Ooo eee, ooo ah ah, ting tang
Walla walla, bing bang

You've been keeping love from me just like you were a miser
And I'll admit I wasn't very smart
So I went out and found myself a guy that's so much wiser
And he taught me the way to win your heart

My friend the witch doctor, he taught me what to say
My friend the witch doctor, he taught me what to do
I know that you'll be mine when I say this to you
Oh, baby

Ooo eee, ooo ah ah, ting tang
Walla walla, bing bang
Ooo eee, ooo ah ah, ting tang
Walla walla, bing bang

Come on and ooo eee, ooo ah ah, ting tang
Walla walla, bing bang
Ooo eee, ooo ah ah, ting tang
Walla walla, bing bang

Ooo eee, ooo ah ah, ting tang
Walla walla, bing bang
Ooo eee, ooo ah ah, ting tang
Walla walla, bing bang

Ooo eee, ooo ah ah, ting tang
Walla walla, bing bang
Ooo eee, ooo ah ah, ting tang
Walla walla, bing bang",,446,0.16367713004484305,3.6531187731843033,0.04121337650063337,0.08968609865470852
1958,5,Patricia,Perez Prado,"Kiss her and your lips will always want Patricia
Stroll her, see Patricia move with all her charms
Mambo, Cha-cha, or Meringue it's Patricia
Heaven, that's where you'll be when she's in you're arms
[Instrumental Interlude]
??? in Japan they brag about the Geisha
Who cares, long Uncle Sam has got Patricia
Eyes that have a starry sort of gleam for you
She is like a million dollar dream come true
Everybody wishes they'd could steal her heart away, I guess
There's so many trying but she never, never will say yes
Eyes that have a starry sort of gleam for you
She is like a million dollar dream come true
Kiss her and your lips will always want Patricia
Stroll her, see Patricia move with all her charms
??? in Japan they brag about the Geisha
Who cares, long Uncle Sam has got Patricia",,142,0.5492957746478874,4.235502496555495,0.016960920452291195,0.04929577464788732
1959,1,The Battle of New Orleans,Johnny Horton,"In 1814 we took a little trip
Along with Colonel Jackson down the mighty Mississip
We took a little bacon and we took a little beans
And we caught the bloody British in a town near New Orleans

We fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they begin to runnin'
On down the Mississippi to the Gulf of Mexico

We looked down a river
(Hut-two)
And we see'd the British come
(Three-four)
And there must have been a hundred of'em
(Hut-two)
Beatin' on the drums
(Three-four)
They stepped so high
(Hut-two)
And they made their bugles ring
(Three-four)
We stood beside our cotton bales
(Hut-two)
And didn't say a thing
(Two-three-four)

We fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they begin to runnin'
On down the Mississippi to the Gulf of Mexico

Old Hickory said we could take 'em by surprise
(One-hut, two-three-four)
If we didn't fire our muskets
(One-hut, two-three-four)
'Till we looked 'em in the eye
(One-hut, two-three-four)
We held our fire
(Hut, two-three-four)
'Till we see their faces well
Then we opened up our squirrel guns
And really gave 'em - well we

Fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they begin to runnin'
On down the Mississippi to the Gulf of Mexico

Yeah, they ran through the briars
(One-hup-two)
And they ran through the brambles
(Hup-two-three-four)
And they ran through the bushes
(Hup-two)
Where the rabbit couldn't go
(Hup-two-three-four)
They ran so fast
(Hup-two)
That the hounds couldn't catch 'em
(One-two-three-four)
On down the Mississippi to the Gulf of Mexico
(One-two, hup-two-three-four)

We fired our cannon 'til the barrel melted down
So we grabbed an alligator and we fired another round
We filled his head with cannon balls, and powdered his behind
And when we touched the powder off the gator lost his mind

We fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they begin to runnin'
On down the Mississippi to the Gulf of Mexico

Yeah, they ran through the briars
(Hup-one-two)
And they ran through the brambles
(One-two-three-four)
And they ran through the bushes
(Hup-two)
Where the rabbit couldn't go
(Hup-two-three-four)
They ran so fast
(Hup-two)
That the hounds couldn't catch 'em
(One-two-three-four)
On down the Mississippi to the Gulf of Mexico",,407,0.3194103194103194,4.271730551354764,0.024600208875393183,0.08353808353808354
1959,2,Mack the Knife,Bobby Darin,"Oh the shark, babe
Has such teeth, dear
And he shows them
Pearly white
Just a jackknife
Has old Macheath, babe
And he keeps it
Out of sight

You know when that shark bites
With his teeth, babe
Scarlet billows
Start to spread
Fancy gloves, though
Wears ol' Macheath, babe
So there's never, never a trace of red

Now, on the side walk, ooh Sunday morning, uh huh
Lies a body just oozing life. EEK!
And someone's sneaking round the corner
Could that someone be Mack the Knife?

There's a tugboat down by the river, don't you know
Where a cement bag's just a drooping on down
Oh that cement is just, it's there for the weight, dear
Five'll get ya ten, ol' Mackie's back in town

Now did ya hear 'bout Louie Miller?
He disappeared, babe
After drawing out all his hard earned cash
And now Macheath spends, just like a sailor
Could it be, our boy's done something rash?

Now, Jenny Diver, Suky Tawdry
Oh, Miss Lotte Lenya, and ol' Lucy Brown
Oh the line forms on the right, babe
Now that Mackie's back in town

I said, Jenny Diver, oh Suky Tawdry
Look out, Miss Lotte Lenya, and ol' Lucy Brown
Yes, that line forms on the right, babe
Now that Mackie's back in town
Look out ol' Mackie is back!",,224,0.5714285714285714,4.616491811046349,0.01307397959183676,0.04017857142857143
1959,3,Personality,Lloyd Price,"Over and over
I tried to prove my love to you
Over and over
What more can I do

Over and over
My friend says I'm a fool
But over and over
I'll be a fool for you

Cause you got personality
Walk (with personality)
Talk (with personality)
Smile (with personality)
Charm (with personality)
Love (with personality)
And plus you've got
A great big heart

So over and over
Oh, I'll be a fool for you
Now over and over
What more can I do

Cause you got personality
Walk (with personality)
Talk (with personality)
Smile (with personality)
Charm (with personality)
Love (with personality)
And plus you've got
A great big heart

So over and over
Whoa, I'll be a fool for you
Now over and over
What more can I do

Over and over
I said that I love you
Over and over, honey
Now it's the truth

Over and over
They still say I'm a fool
But over and over
I'll be a fool for you

Cause you got personality
Walk (with personality)
Talk (with personality)
Smile (with personality)
Charm (with personality)
Love (with personality)
And plus you've got
A great big heart

So over and over
Whoa, I'll be a fool for you
Now over and over
What more can I do",,185,0.24864864864864866,3.4187676740824022,0.0505770635500365,0.15135135135135136
1959,4,Venus,Frankie Avalon,"Hey, Venus!
Oh, Venus!

Venus, if you will
Please send a little girl for me to thrill
A girl who wants my kisses and my arms
A girl with all the charms of you

Venus, make her fair
A lovely girl with sunlight in her hair
And take the brightest stars up in the skies
And place them in her eyes for me

Venus, goddess of love that you are
Surely the things I ask
Can't be too great a task

Venus, if you do
I promise that I always will be true
I'll give her all the love I have to give
As long as we both shall live

Venus, goddess of love that you are
Surely the things I ask
Can't be too great a task

Venus, if you do
I promise that I always will be true
I'll give her all the love I have to give
As long as we both shall live

Hey, Venus!
Oh, Venus!
Make my wish come true",,166,0.40963855421686746,4.010035829816989,0.022427057628102785,0.060240963855421686
1959,5,Lonely Boy,Paul Anka,"I'm just a lonely boy
Lonely and blue
I'm all alone
With nothin' to do

I've got everything
You could think of
But all I want
Is someone to love

Someone, yes, someone to love
Someone to kiss
Someone to hold
At a moment like this

I'd like to hear
Somebody say
I'll give you my love
Each night and day

I'm just a lonely boy
Lonely and blue
I'm all alone
With nothin' to do

I've got everything
You could think of
But all I want
Is someone to love

Somebody, somebody, somebody, please
Send her to me
I'll make her happy
Just wait and see

I've prayed so hard
To the heavens above
That I might find
Someone to love

I'm just a lonely boy
Lonely and blue
I'm all alone
With nothin' to do

I've got everything
You could think of",,144,0.4166666666666667,3.826225598548916,0.028067129629629633,0.08333333333333333
