year,rank,title,artist,match_score,source_label
1958,1,Volare (Nel blu dipinto di blu),Domenico Modugno,100.0,meta_pos:1958-1
1958,2,"All I Have to Do Is Dream"" / ""Claudette",The Everly Brothers,100.0,fallback_pool
1958,3,"Don't"" / ""I Beg of You",Elvis Presley,-1.0,
1958,4,Witch Doctor,Ross Bagdasarian,100.0,meta_pos:1958-4
1958,5,Patricia,Perez Prado,-1.0,
1959,1,The Battle of New Orleans,Johnny Horton,100.0,meta_pos:1959-1
1959,2,Mack the Knife,Bobby Darin,100.0,meta_pos:1959-2
1959,3,Personality,Lloyd Price,100.0,meta_pos:1959-3
1959,4,Venus,Frankie Avalon,100.0,meta_pos:1959-4
1959,5,Lonely Boy,Paul Anka,100.0,meta_pos:1959-5
1960,1,Theme from A Summer Place,Percy Faith,-1.0,
1960,2,He'll Have to Go,Jim Reeves,100.0,meta_pos:1960-2
1960,3,Cathy's Clown,The Everly Brothers,100.0,meta_pos:1960-3
1960,4,Running Bear,Johnny Preston,100.0,meta_pos:1960-4
1960,5,Teen Angel,Mark Dinning,100.0,meta_pos:1960-5
1961,1,Tossin' and Turnin,Bobby Lewis,98.36065573770492,meta_pos:1961-1
1961,2,I Fall to Pieces,Patsy Cline,100.0,meta_pos:1961-2
1961,3,Michael,The Highwaymen,100.0,meta_pos:1961-3
1961,4,Crying,Roy Orbison,100.0,meta_pos:1961-4
1961,5,Runaway,Del Shannon,100.0,meta_pos:1961-5
1962,1,Stranger on the Shore,Acker Bilk,-1.0,
1962,2,I Can't Stop Loving You,Ray Charles,100.0,meta_pos:1962-2
1962,3,Mashed Potato Time,Dee Dee Sharp,100.0,meta_pos:1962-3
1962,4,Roses Are Red (My Love),Bobby Vinton,100.0,meta_pos:1962-4
1962,5,The Stripper,David Rose,-1.0,
1963,1,Surfin' U.S.A.,The Beach Boys,91.66666666666667,meta_pos:1963-1
1963,2,The End of the World,Skeeter Davis,100.0,meta_pos:1963-2
1963,3,Rhythm of the Rain,The Cascades,100.0,meta_pos:1963-3
1963,4,He's So Fine,The Chiffons,100.0,meta_pos:1963-4
1963,5,Blue Velvet,Bobby Vinton,100.0,meta_pos:1963-5
1964,1,I Want to Hold Your Hand,The Beatles,100.0,meta_pos:1964-1
1964,2,She Loves You,The Beatles,100.0,meta_pos:1964-2
1964,3,"Hello, Dolly!",Louis Armstrong,100.0,meta_pos:1964-3
1964,4,"Oh, Pretty Woman",Roy Orbison,100.0,meta_pos:1964-4
1964,5,I Get Around,The Beach Boys,100.0,meta_pos:1964-5
1965,1,Wooly Bully,Sam the Sham and the Pharaohs,100.0,meta_pos:1965-1
1965,2,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,100.0,meta_pos:1965-2
1965,3,(I Can't Get No) Satisfaction,The Rolling Stones,100.0,meta_pos:1965-3
1965,4,You Were on My Mind,We Five,100.0,meta_pos:1965-4
1965,5,You've Lost That Lovin' Feelin,The Righteous Brothers,99.06542056074767,meta_pos:1965-5
1966,1,California Dreamin,The Mamas & the Papas,98.7012987012987,meta_pos:1966-1
1966,2,96 Tears,? and the Mysterians,100.0,meta_pos:1966-2
1966,3,What Becomes of the Brokenhearted,Jimmy Ruffin,100.0,meta_pos:1966-3
1966,4,Last Train to Clarksville,The Monkees,100.0,meta_pos:1966-4
1966,5,Reach Out I'll Be There,Four Tops,100.0,meta_pos:1966-5
