year,rank,title,artist
1980,1,Lose Control,Teddy Swims
1980,2,A Bar Song (Tipsy),Shaboozey
1980,3,Beautiful Things,Benson Boone
1980,4,I Had Some Help,Post MaloneFeaturingMorgan Wallen
1980,5,Lovin On Me,Jack Harlow
1980,6,Not Like Us,Kendrick Lamar
1980,7,Espresso,Sabrina Carpenter
1980,8,Million Dollar Baby,Tommy Richman
1980,9,I Remember Everything,Zach BryanFeaturingKacey Musgraves
1980,10,Too Sweet,Hozier
1980,11,Stick Season,Noah Kahan
1980,12,Cruel Summer,Taylor Swift
1980,13,Greedy,Tate McRae
1980,14,Like That,"Future,Metro Boomin&Kendrick Lamar"
1980,15,Birds Of A Feather,Billie Eilish
1980,16,Please Please Please,Sabrina Carpenter
1980,17,Agora Hills,Doja Cat
1980,18,"Good Luck, Babe!",Chappell Roan
1980,19,Saturn,SZA
1980,20,Snooze,SZA
1980,21,Paint The Town Red,Doja Cat
1980,22,Fortnight,Taylor SwiftFeaturingPost Malone
1980,23,Fast Car,Luke Combs
1980,24,Water,Tyla
1980,25,Feather,Sabrina Carpenter
1980,26,We Can't Be Friends (Wait For Your Love),Ariana Grande
1980,27,Austin,Dasha
1980,28,Last Night,Morgan Wallen
1980,29,Cowgirls,Morgan WallenFeaturingERNEST
1980,30,Pink Skies,Zach Bryan
1980,31,Thinkin' Bout Me,Morgan Wallen
1980,32,Texas Hold 'Em,Beyonce
1980,33,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
1980,34,Miles On It,Marshmello &Kane Brown
1980,35,I Can Do It With A Broken Heart,Taylor Swift
1980,36,Wild Ones,jessie murph&Jelly Roll
1980,37,Ain't No Love In Oklahoma,Luke Combs
1980,38,Carnival,¥$: Ye &Ty Dolla $ignFeaturingRich The Kid&Playboi Carti
1980,39,Houdini,Eminem
1980,40,Wanna Be,Glorilla&Megan Thee Stallion
1980,41,Slow It Down,Benson Boone
1980,42,Redrum,21 Savage
1980,43,Houdini,Dua Lipa
1980,44,Yeah Glo!,Glorilla
1980,45,Rich Baby Daddy,DrakeFeaturingSexyy Red&SZA
1980,46,What Was I Made For?,Billie Eilish
1980,47,End Of Beginning,Djo
1980,48,Lunch,Billie Eilish
1980,49,Never Lose Me,Flo Milli
1980,50,Lies Lies Lies,Morgan Wallen
1980,51,Type Shit,"Future,Metro Boomin,Travis Scott&Playboi Carti"
